Full Complaint,Complaint/Non Complaint,Service,Negligence,Behaviour,Cleanliness,Pharmacy,Unprofessionalism,Inefficiency,Unavailibility,Billing
"I am very satisfied with service .
 
 very clean Hospital area and bathroom and i special thank to Rumpy to suggest this Hospital for good treatment",Non Complaint,Non Complaint,,,Non Complaint,,Non Complaint,,,
I AM PROBITA BORAH I ADMITTED IN TRAUMA WARD 1107 TODAY I GETTING DISCHARGE all of trauma ward nurses are very caring and kind and services are good especially nurses are leema jeya esaivani abitha anushiya anitha indhu kowsalya preethi are treating me,Non Complaint,Non Complaint,,Non Complaint,,,,,,
Our stay were made comfortable and happy experience This was due to personal care of all the supporting staff. All these days our food patient & attender taken care by staff Madan which was excellent ??,Non Complaint,Non Complaint,,Non Complaint,,,,,,
My mother admitted in SICU in apollo OMR hospital. I like the services provided by the ICU team doctors and nurses and other supporting staffs.Due to their service my mother recovered at the earliest .,Non Complaint,Non Complaint,,Non Complaint,,,,,,
"Very poor staff, most of are like data entry, no cooperation, every doctor has co-ordinator who look like personal assistant make bill.",Complaint,Complaint,,,,,Complaint,Complaint,,
Useless n unfit nursing staff..and non mediacl staff they have taken one whole day to prepare one discharge summary these nursing staff come to work only for time pass..these r not interested in working they r there only for money,Complaint,Complaint,,,,,Complaint,Complaint,,
"Staff is rude. There is no one on the reception desk to take the call. Nobody takes the responsibility of calling and informing about the reports. WORSE EXPERIENCE, I WILL NEVER RECOMMEND THIS HOSPITAL>",Complaint,Complaint,,Complaint,,,Complaint,,Complaint,
"I am writing this review to help many people. Please don't go to this hospital. I really had a painful experience in this hospital. Doctors don't know anything here. They will just write the tests and medicines for commission. still if you want to go , just observe for one hour. Then you will understand.
 
 TO
 
 DR. ANITHA TRIPATHY :
 
 ONE MORE THING. I AM SURE YOU WILL READ THIS REVIEW ONE DAY.PLEASE UNDERSTAND YOU ARE A WOMEN.YOU SHOULD HAVE SENSE . TREAT PEOPLE WITH HEART, NOT FOR THE SAKE OF MONEY.IF YOU WANT ONLY MONEY THERE MANY WAYS TO EARN THE MONEY.CONTACT ME FOR DETAILS. BUT DON'T PLAY WITH LIVES.
 
 YOU KNOW THIS YOUR MISTAKE. BUT DON'T DO THIS ANY MORE. GOD BLESS YOU ANITHA..",Complaint,Complaint,,,,,Complaint,,,Complaint
"We have admitted our pet in a critical condition at 12:00 AM but till next day 6:00 in the evening no test was conducted. on doing a follow up at every hour, we got the reply thatit will be conducted in next hour. nothing else was made clear. Dr. Waseem said every test needs to be done early in the morning but there was no response from Dr. rahul on this. At last we just discharge our pet. and we received a bill including the cost of all those test that was not even conducted. They simply said your not waiting for the test we will be conducting the test in next hour.",Complaint,Complaint,,,,,Complaint,,Complaint,Complaint
"I have come to Batra hospital 2nd time, first visit was horrible when I brought my mother here in an emergency and I met Dr Arora who was supposed to be a senior doctor. His attitude towards us was as if he's some kind of king and we're savages.
 
 He was unwilling to talk and when I asked whats his plan of action he asked us to leave! Today I've come to Neuro specialist Dr choudhary who's supposed to start seeing patients from 11am and I'm sitting here with my sick mother and at 1pm the doctor has still not showed up, yet.
 
 Receptionist doesn't know his whereabouts, it's worse than AIIMS or any other govt hospital. I urge that doctors are to be brought under service sector and to be strictly observed so that they adhere to time line, meanwhile I advice nobody to visit Batra Hospital",Complaint,Complaint,,Complaint,,,Complaint,,Complaint,
"Careless Doctors-
 
 Well, I am writing this review because I have bad experience about the Dr. Srikant who is working in Manipal .Actually my brother was admitted after bike accident and while removing the stretch he forgot to remove some of thread and not responded properly .All staff was careless.very bad hospitality which I have feel that day .I never suggest to any person to visit this kind of hospital.",Complaint,Complaint,Complaint,Complaint,,,,Complaint,,
Sevenhills is big in a criminal manner. Its a very irreaponsible hospital with assistant doctors handling most. Satyaprakash a white collar terrorist doctor killed my dad due to negligiency during bypass surgery. Everybody over there is a liar and immature to take on serious business of a medical field.,Complaint,Complaint,Complaint,,,,,Complaint,,
"Worst. You will waste your money. They are only here to mint money. There are huge price difference if you get chemo from Shalimar bagh it will cost only 21k but here they charge more than 28k and they do not ahve ambulance or emergency care service for any query they will send you to go Max Saket. The management, nurses are alwys talking then actually working. Do not go there as a small unit they only think about profit to survive. Doctor Jhulka is good but most of the time he own't even remember you name forget about case, nurses are always hurry to go home early. On duty doctor won't even take your call",Complaint,Complaint,,,,,Complaint,,,Complaint
Nurses and support staff are just clueless and many times missed on prescribed medicine which is to be given to patients who are admitted. Any kind of support related to cleaning and patient hygiene related stuff you have to wait for hours due to non availability of staff members.,Complaint,Complaint,Complaint,,Complaint,,,,Complaint,
"I have been to Batra hospital once with my friend when she has severe stomach pain. At the afternoon time there was no nearby clinic open, so we rushed towards Batra Hospital.
 
 After filling some details they examined the patient on time and immediately written some test and put glucose to her. Without telling exact reason for the pain, they first pressurize to perform the written tests that cost around Rs. 1000.
 
 After the test they have given injection and disclosed that the pain may be cause of food poison. So, after charging more than 2000 bucks the problem found is food poison. My friend got immediate relief and that would add a plus to this hospital. But, creating unnecessary hush and making a big scene while charging high is seriously not justified. They should need to take care of their both in term of relief and money.",Mixed,,,,,,Complaint,,,Complaint
I admitted my son at 3 a.m.due to excessive vomiting in the emergency ward.service was prompt. Doctor on duty attended promptly and medication given.charges were reasonable and my son was stable.only negative is the ward is infested with mosquitos as doors are left open most of the time.patient is uncomfortable due to bites.hospital should look in the matter and keep it mosquito free.,Mixed,Non Complaint,,,Complaint,,,,Non Complaint,Non Complaint
